反应物	反应类型数	反应类型列表
[N+:1]([c:2]1[c:3]2[nH:4][n:5][c:6]([NH:7][C:8]([CH2:9][CH2:10][CH3:11])=[O:12])[c:13]2[cH:14][cH:15][c:16]1[Br:17])(=[O:18])[O-:19]	1	[7]
[c:12]1([B:27]([OH:26])[OH:28])[cH:13][cH:14][cH:15][cH:16][c:17]1[O:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1	1	[3]
[c:1]1([I:25])[c:2]2[cH:3][cH:4][n:5][c:6]([O:7][CH3:8])[c:9]2[nH:10][cH:11]1	1	[3]
[N:1]([CH2:2][C@@H:3]([C@H:4]([CH2:5][CH2:6][CH:7]=[C:8]([CH3:9])[CH3:10])[CH3:11])[CH3:12])=[N+:14]=[N-:13]	1	[9]
[C:8](=[O:9])([CH:10]1[CH2:11][CH2:12][N:13]([C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[CH2:21][CH2:22]1)[N:26]([O:25][CH3:24])[CH3:27]	1	[3]
[c:1]1([Br:23])[c:2]([F:3])[cH:4][cH:5][cH:6][cH:7]1	1	[3]
[O:1]([C:2](/[CH:3]=[CH:4]/[c:5]1[cH:6][cH:7][c:8]([C:9]([CH2:10][CH3:11])=[C:12]([c:13]2[cH:14][cH:15][c:16]([OH:17])[cH:18][cH:19]2)[c:20]2[cH:21][cH:22][c:23]([OH:24])[cH:25][cH:26]2)[cH:27][cH:28]1)=[O:29])[C:31]([CH3:30])([CH3:32])[CH3:33]	1	[6]
[CH2:1]([c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[O:8][CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][cH:17]1)[O:28][S:25]([CH3:24])(=[O:26])=[O:27]	1	[1]
[CH3:18][N:19]([CH3:20])[CH2:21][CH2:22][NH2:23]	1	[1]
[c:1]1([B:27]2[O:26][C:24]([CH3:23])([CH3:25])[C:29]([CH3:30])([CH3:31])[O:28]2)[cH:2][n:3]([CH3:4])[n:5][cH:6]1	1	[3]
[c:7]1([I:32])[c:8]2[cH:9][cH:10][c:11]([Cl:12])[n:13][c:14]2[n:15]([CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][O:21]2)[n:22]1	1	[3]
[CH:14]#[C:15][Si:16]([CH3:17])([CH3:18])[CH3:19]	1	[3]
[c:1]1([Br:20])[cH:2][cH:3][c:4]2[cH:5][c:6]([C:7]([O:8][CH3:9])=[O:10])[s:11][c:12]2[cH:13]1	1	[3]
[C:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH3:8])([c:9]1[cH:10][cH:11][c:12]([CH2:13][CH2:14][I:15])[cH:16][cH:17]1)=[O:18]	1	[7]
[CH3:20][CH2:21][CH2:22][CH2:23][CH:24]1[CH2:25][N:26]([CH:27]2[CH2:28][CH2:29][O:30][CH2:31][CH2:32]2)[C:33](=[O:34])[N:35]1[CH:36]1[CH2:37][CH2:38][NH:39][CH2:40][CH2:41]1	1	[1]
[CH:1]([c:2]1[cH:3][cH:4][c:5]([S:6][c:7]2[cH:8][cH:9][c:10]([C:11]([O:12][CH3:13])=[O:14])[cH:15][cH:16]2)[n:17][c:18]1[CH3:19])=[O:42]	1	[1]
[CH2:15]([C:16]([O:17][C:18]([CH3:19])([CH3:20])[CH3:21])=[O:22])[Zn+:24]	1	[3]
[c:1]1([Br:23])[cH:2][cH:3][c:4](-[c:5]2[cH:6][c:7]([F:8])[n:9][cH:10][cH:11]2)[c:12]([F:13])[cH:14]1	1	[3]
[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[Br:16]	1	[1]
[CH:8]#[C:9][CH2:10][CH2:11][CH2:12][C:13](=[O:14])[OH:15]	1	[1]
[OH:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([O:7][c:8]2[cH:9][cH:10][c:11]3[nH:12][cH:13][n:14][c:15]3[cH:16]2)[cH:17][cH:18]1	1	[8]
[I:1][CH2:17][I:16]	1	[9]
[c:2]1([NH2:18])[c:3]([Cl:4])[cH:5][c:6]([C:7]([O:8][CH2:9][CH3:10])=[O:11])[cH:12][c:13]1[O:14][CH3:15]	1	[9]
[N+:1]([c:2]1[c:3](-[c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[cH:10][cH:11][c:12]([C:13]([O:14][CH3:15])=[O:16])[cH:17]1)(=[O:18])[O-:19]	1	[7]
[N+:1]([c:2]1[c:3]([CH3:4])[cH:5][cH:6][c:7]([NH:8][C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[cH:16]1)(=[O:17])[O-:18]	1	[7]
[CH:1](=[CH2:2])[Sn:28]([CH2:27][CH2:26][CH2:25][CH3:24])([CH2:29][CH2:30][CH2:31][CH3:32])[CH2:33][CH2:34][CH2:35][CH3:36]	1	[3]
[c:3]1([Cl:37])[n:4][c:5]2[cH:6][cH:7][c:8]([Cl:9])[c:10]([NH:11][C:12](=[O:13])[CH2:14][CH:15]3[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20]3)[c:21]2[cH:22][cH:23]1	1	[3]
[C:1]([c:2]1[c:3]([O:4][CH3:5])[cH:6][cH:7][cH:8][c:9]1[O:10][CH3:11])(=[O:12])[Cl:31]	1	[2]
[CH3:13][C:14](=[O:15])[O:16][CH2:17][C:18](=[O:19])[O:20][CH2:21][C:22]([CH3:23])([CH3:24])[c:25]1[n:26][n:27][c:28]([NH2:29])[s:30]1	1	[2]
[O:9]=[C:10]([NH:11][CH2:12][CH2:13][C@H:14]([OH:15])[C:16](=[O:17])[OH:18])[O:19][CH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1	1	[2]
[c:1]1([Cl:28])[n:2][c:3](-[c:4]2[cH:5][cH:6][n:7][cH:8][cH:9]2)[n:10][c:11]2[s:12][c:13]([CH3:14])[c:15]([Cl:16])[c:17]12	1	[1]
[C:1]([C@@H:2]([CH2:3][N:4]([CH:5]=[O:6])[O:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[CH2:15][CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20]1)(=[O:21])[OH:40]	1	[2]
[CH3:22][c:23]1[n:24][c:25]([NH:26][NH2:27])[c:28]([F:29])[c:30]([N:31]2[CH2:32][CH2:33][N:34]([CH3:35])[CH2:36][C@@H:37]2[CH3:38])[n:39]1	1	[2]
[NH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[NH2:19]	1	[2]
[CH2:1]([O:2][CH3:3])[Cl:15]	1	[5]
[CH3:4][O:5][c:6]1[cH:7][c:8]([C:9]#[N:10])[cH:11][cH:12][c:13]1[OH:14]	1	[5]
[C:1](=[O:2])([O:3][CH2:4][CH:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2-[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21)[Cl:32]	1	[5]
[CH3:18][CH:19]([NH2:20])[CH2:21][c:22]1[n:23][nH:24][c:25]2[cH:26][cH:27][c:28]([OH:29])[cH:30][c:31]12	1	[5]
[c:1]1([Br:43])[cH:2][cH:3][c:4]([S:5]([C@H:6]2[CH2:7][C@H:8]([C:9]([NH:10][C:11]3([C:12]#[N:13])[CH2:14][CH2:15]3)=[O:16])[C@@H:17]([O:18][CH:19]3[CH2:20][CH2:21][S:22](=[O:23])(=[O:24])[CH2:25][CH2:26]3)[CH2:27]2)(=[O:28])=[O:29])[c:30]([C:31]([F:32])([F:33])[F:34])[cH:35]1	1	[3]
[c:36]1([B:45]([OH:44])[OH:46])[cH:37][c:38]([CH3:39])[n:40][cH:41][cH:42]1	1	[3]
[C@@H:1]([C:2]([O:3][CH3:4])=[O:5])([CH3:6])[OH:23]	1	[1]
[OH:7][c:8]1[cH:9][cH:10][c:11]([O:12][c:13]2[n:14][cH:15][c:16]([Cl:17])[cH:18][c:19]2[F:20])[cH:21][cH:22]1	1	[1]
[CH2:23]([CH:24]=[CH2:25])[Sn:31]([CH2:30][CH2:29][CH2:28][CH3:27])([CH2:32][CH2:33][CH2:34][CH3:35])[CH2:36][CH2:37][CH2:38][CH3:39]	1	[3]
[c:1]1([Br:26])[cH:2][c:3]2[n:4][c:5]([CH2:6][O:7][c:8]3[cH:9][cH:10][c:11]([F:12])[c:13]([C:14]([NH2:15])=[O:16])[c:17]3[F:18])[s:19][c:20]2[cH:21][cH:22]1	1	[3]
[O:1]([CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH:8]([O:9][C:10]([CH3:11])=[O:12])[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1)[Si:20]([CH2:19][CH3:18])([CH2:21][CH3:22])[CH2:23][CH3:24]	1	[6]
[CH2:1]([CH2:2][CH2:3][CH2:4][n:5]1[c:6](=[O:7])[n:8]2[c:9]([n:10]1)[CH2:11][O:12][c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1-2)[Cl:35]	1	[1]
[O:19]=[c:20]1[nH:21][c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]2[n:28]1[CH:29]1[CH2:30][CH2:31][NH:32][CH2:33][CH2:34]1	1	[1]
[C:1]([c:2]1[cH:3][cH:4][c:5]2[cH:6][c:7](-[c:8]3[c:9]([CH3:10])[cH:11][cH:12][cH:13][c:14]3[CH3:15])[nH:16][c:17]2[cH:18]1)(=[O:19])[OH:29]	1	[2]
[CH3:20][c:21]1[cH:22][cH:23][c:24]([NH2:25])[cH:26][c:27]1[CH3:28]	1	[2]
[S:1]([NH:2][CH:3]([CH3:4])[CH3:5])(=[O:6])(=[O:7])[Cl:15]	1	[2]
[CH3:5][C:6](=[O:7])[O:8][C@H:9]1[CH2:10][C@:11]2([CH3:12])[C@@H:13]([OH:14])[CH2:15][CH2:16][C@H:17]2[C@@H:18]2[CH2:19][CH2:20][C:21]3=[CH:22][C:23](=[O:24])[CH:25]=[CH:26][C@:27]3([CH3:28])[C@@:29]12[F:30]	1	[2]
[O:1]([C:2](=[O:3])[CH2:4][NH:5][C:6](=[O:7])[NH:8][c:9]1[cH:10][c:11]([CH2:12][NH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[C:20](=[O:21])[NH:22][O:23][CH2:24][c:25]2[cH:26][cH:27][c:28]([C:29]#[N:30])[cH:31][cH:32]2)[cH:33][cH:34][n:35]1)[CH2:37][CH3:36]	1	[6]
[O:1]([C:2](=[O:3])[CH2:4][n:5]1[c:6]([CH3:7])[c:8]([CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[S:16](=[O:17])(=[O:18])[N:19]([CH3:20])[c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[c:27]2[cH:28][c:29]([F:30])[cH:31][cH:32][c:33]12)[CH3:34]	1	[6]
[C:1]([c:2]1[cH:3][n:4][c:5]([NH:6][c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][cH:13]2)[c:14]([Cl:15])[cH:16]1)(=[O:25])[OH:26]	1	[4]
[C:1](=[CH:2][c:3]1[cH:4][cH:5][c:6]([O:7][CH3:8])[c:9]([OH:10])[cH:11]1)([Br:12])[Br:13]	1	[9]
[NH2:16][CH2:17][c:18]1[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]1	1	[1]
[c:1]1([Cl:25])[c:2]2[cH:3][c:4]([Cl:5])[s:6][c:7]2[n:8][c:9](-[c:10]2[cH:11][cH:12][n:13][o:14]2)[n:15]1	1	[1]
[O:1]([C:2](=[O:3])[CH:4]1[CH2:5][CH:6]([C:7](=[O:8])[O:9][C:10]([CH3:11])([CH3:12])[CH3:13])[N:14]([C:15](=[O:16])[CH2:17][NH:18][C:19](=[O:20])[NH:21][c:22]2[cH:23][cH:24][c:25]([Cl:26])[cH:27][cH:28]2)[CH:29]1[c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[CH3:36]	1	[6]
[N:1]([CH2:2][CH2:3][NH:4][c:5]1[n:6][c:7](-[c:8]2[c:9]([CH3:10])[cH:11][cH:12][c:13]([C:14](=[O:15])[NH:16][c:17]3[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]3)[cH:24]2)[c:25]2[c:26]([n:27]1)[N:28]([c:29]1[c:30]([F:31])[cH:32][cH:33][cH:34][c:35]1[F:36])[C:37](=[O:38])[NH:39][CH2:40]2)([CH3:41])[C:47]([O:46][C:43]([CH3:42])([CH3:44])[CH3:45])=[O:48]	1	[6]
[CH3:1][N:2]1[CH2:3][CH:4]([CH2:5][C:6]#[N:7])[CH2:8][C@@H:9]2[c:10]3[cH:11][cH:12][cH:13][c:14]4[nH:15][cH:16][c:17]([c:18]34)[CH2:19][C@@H:20]12	1	[7]
[OH:8][CH2:9][C@H:10]1[CH2:11][CH2:12][C@H:13]2[CH2:14][NH:15][CH2:16][CH2:17][N:18]2[CH2:19]1	1	[1]
[c:1]1([Cl:20])[n:2][cH:3][c:4]([F:5])[cH:6][n:7]1	1	[1]
[CH3:9][CH2:10][O:11][C:12](=[O:13])[CH2:14][NH:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][c:21]([O:22][CH2:23][CH2:24][c:25]2[n:26][c:27](-[c:28]3[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]3)[o:35][c:36]2[CH3:37])[cH:38]1	1	[2]
[S:1]([N:2]([CH2:3][CH3:4])[CH2:5][CH3:6])(=[O:7])(=[O:8])[Cl:39]	1	[2]
[c:1]1([Br:27])[cH:2][cH:3][c:4]2[nH:5][c:6](=[O:7])[n:8]3[c:9]2[c:10]1[O:11][CH2:12][CH:13]3[c:14]1[cH:15][cH:16][cH:17][cH:18][n:19]1	1	[3]
[c:20]1([B:32]2[O:31][C:29]([CH3:28])([CH3:30])[C:34]([CH3:35])([CH3:36])[O:33]2)[c:21]([CH3:22])[cH:23][n:24][n:25]1[CH3:26]	1	[3]
[C:1](=[O:2])([c:3]1[cH:4][c:5]([N+:6](=[O:7])[O-:8])[cH:9][cH:10][c:11]1[F:12])[OH:20]	1	[2]
[NH2:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][o:19]1	1	[2]
[NH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([CH2:12][N:13]2[CH2:14][CH2:15][N:16]([CH:17]([c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:24]3[cH:25][cH:26][cH:27][cH:28][cH:29]3)[CH2:30][CH2:31]2)[n:32]1	1	[2]
[C:1](=[O:2])([c:3]1[cH:4][c:5]([O:6][CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[c:14]([O:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[cH:23][n:24]1)[OH:36]	1	[2]
[NH2:25][C:26](=[O:27])[N:28]1[CH2:29][CH2:30][CH2:31][N:32]([NH2:33])[C:34]1=[O:35]	1	[2]
[c:18]1([B:30]([OH:29])[OH:31])[cH:19][cH:20][c:21]([S:22]([CH3:23])(=[O:24])=[O:25])[cH:26][cH:27]1	1	[3]
[c:1]1([Br:28])[c:2]2[n:3]3[c:4]([c:5]([CH3:6])[c:7]2[cH:8][c:9]([C:10]#[N:11])[cH:12]1)[C:13](=[O:14])[NH:15][CH2:16][CH2:17]3	1	[3]
[N+:1]([c:2]1[cH:3][cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][n:10][c:11]([NH:12][CH2:13][CH2:14][c:15]3[cH:16][cH:17][c:18]([O:19][CH3:20])[c:21]([O:22][CH3:23])[cH:24]3)[n:25]2)[cH:26]1)(=[O:27])[O-:28]	1	[7]
[NH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[O:12][CH:13]1[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]1	1	[2]
[CH3:5][c:6]1[cH:7][cH:8][c:9]([CH2:10][CH2:11][NH2:12])[cH:13][cH:14]1	1	[1]
[CH:1]([CH:2]1[CH2:3][CH2:4]1)=[O:15]	1	[1]
[O:14]=[C:15]([NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][cH:22][c:23]([Cl:24])[s:25]1)[CH:26]1[CH2:27][CH2:28][NH:29][CH2:30][CH2:31]1	1	[1]
[c:1]1([Cl:32])[n:2][cH:3][c:4]([C:5]([O:6][CH2:7][CH3:8])=[O:9])[c:10]([NH2:11])[c:12]1[Cl:13]	1	[1]
[CH3:24][N:25]1[C:26](=[O:27])[CH2:28][CH2:29][CH2:30][c:31]2[cH:32][c:33]([NH2:34])[cH:35][cH:36][c:37]21	1	[1]
[c:1]1([Cl:38])[n:2][c:3]([NH:4][c:5]2[c:6]([C:7]([NH2:8])=[O:9])[cH:10][c:11]([N:12]3[CH2:13][CH2:14][O:15][CH2:16][CH2:17]3)[cH:18][cH:19]2)[c:20]([Cl:21])[cH:22][n:23]1	1	[1]
[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[C:8]([CH3:9])([CH3:10])[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][O:16][CH:17]1[CH2:18][CH2:19][CH2:20][CH2:21][O:22]1	1	[7]
[CH2:1]([CH2:2][F:3])[Br:19]	1	[1]
[O:4]=[N+:5]([O-:6])[c:7]1[cH:8][cH:9][c:10]([O:11][C@@H:12]2[CH2:13][CH2:14][NH:15][CH2:16]2)[n:17][cH:18]1	1	[1]
[CH2:1]([N:2]([C:3]([O:4][CH2:5][CH3:6])=[O:7])[CH3:8])[Cl:27]	1	[1]
[CH3:9][C:10](=[O:11])[O:12][CH2:13][C:14]1=[C:15]([C:16](=[O:17])[OH:18])[N:19]2[C:20](=[O:21])[CH:22]([NH2:23])[CH:24]2[S:25][CH2:26]1	1	[1]
[c:1]1([Cl:20])[n:2][cH:3][n:4][c:5]2[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]12	1	[1]
[C:1](=[O:2])([c:3]1[cH:4][c:5]([CH2:6][c:7]2[n:8][nH:9][c:10](=[O:11])[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]23)[cH:18][cH:19][c:20]1[F:21])[OH:37]	1	[2]
[O:22]=[C:23]([CH2:24][O:25][CH:26]1[CH2:27][CH2:28][NH:29][CH2:30][CH2:31]1)[N:32]1[CH2:33][CH2:34][CH2:35][CH2:36]1	1	[2]
[c:1]1([Cl:16])[c:2]([C:3]#[N:4])[cH:5][cH:6][c:7]([NH2:8])[cH:9]1	1	[3]
[O:13]=[CH:14][c:15]1[cH:16][nH:17][c:18](-[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[cH:25]1	1	[2]
[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][c:7]2[n:8][cH:9][s:10][c:11]2[cH:12]1)[Cl:26]	1	[2]
[O:1]([C:2](=[O:3])[CH:4]1[CH2:5][N:6]([S:7](=[O:8])(=[O:9])[c:10]2[cH:11][cH:12][c:13]3[cH:14][c:15]([Cl:16])[cH:17][cH:18][c:19]3[cH:20]2)[CH2:21][CH2:22][N:23]1[C:24](=[O:25])[c:26]1[s:27][c:28](-[c:29]2[cH:30][cH:31][n:32][cH:33][cH:34]2)[n:35][c:36]1[CH3:37])[CH2:39][CH3:38]	1	[6]
[CH3:1][S:2](=[O:3])(=[O:4])[O:5][CH2:6][CH2:7][C:8]#[C:9][c:10]1[cH:11][cH:12][c:13]2[c:14](-[c:15]3[cH:16][cH:17][c:18]([Cl:19])[cH:20][cH:21]3)[n:22][s:23][c:24]2[cH:25]1	1	[7]
[N+:1]([c:2]1[c:3]([CH3:4])[cH:5][c:6]([CH3:7])[c:8]2[cH:9][cH:10][c:11]([CH3:12])[n:13][c:14]12)(=[O:15])[O-:16]	1	[7]
[CH3:28][O:29][C:30](=[O:31])[c:32]1[cH:33][cH:34][c:35](-[c:36]2[cH:37][cH:38][c:39]([OH:44])[cH:40][cH:41]2)[cH:42][cH:43]1	1	[1]
[OH:1][CH:2]1[CH2:3][CH2:4][N:5]([C:6](=[O:7])[O:8][c:9]2[cH:10][cH:11][c:12]([O:13][c:14]3[cH:15][cH:16][c:17]([C:18]([F:19])([F:20])[F:21])[cH:22][n:23]3)[cH:24][cH:25]2)[CH2:26][CH2:27]1	1	[1]
[c:11]1([B:20]([OH:19])[OH:21])[cH:12][cH:13][cH:14][c:15]([Cl:16])[cH:17]1	1	[3]
[c:1]1([Br:18])[c:2]([NH2:3])[cH:4][cH:5][c:6]([CH2:7][S:8][CH3:9])[cH:10]1	1	[3]
[C:1]([CH2:2][CH2:3][N:4]([CH3:5])[CH3:6])(=[O:7])[OH:44]	1	[2]
[CH3:8][CH:9]([CH3:10])[C@H:11]([NH2:12])[c:13]1[cH:14][cH:15][cH:16][c:17]([F:18])[c:19]1[N:20]1[CH2:21][CH2:22][N:23]([C:24](=[O:25])[CH:26]2[CH2:27][N:28]([CH:29]([CH3:30])[CH3:31])[CH2:32][CH:33]2[c:34]2[cH:35][cH:36][c:37]([Cl:38])[cH:39][c:40]2[Cl:41])[CH2:42][CH2:43]1	1	[2]
[C:1]([CH2:2][C@H:3]([CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH3:9])[F:10])(=[O:11])[O:13][CH3:12]	1	[7]
[CH3:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH3:9])[cH:10][cH:11]1	1	[10]
[c:1]1([Br:18])[cH:2][c:3]2[cH:4][cH:5][c:6]([OH:7])[cH:8][c:9]2[cH:10][cH:11]1	1	[3]
[C:1]1(=[O:18])[CH2:2][CH2:3][CH:4]([c:5]2[cH:6][cH:7][c:8]([F:9])[c:10]([F:11])[cH:12]2)[CH2:13][CH2:14]1	1	[3]
[NH2:1][c:2]1[cH:3][cH:4][c:5]([Cl:6])[c:7]([S:8]([NH2:9])(=[O:10])=[O:11])[c:12]1[OH:13]	1	[2]
[O:14]=[C:15]=[N:16][C:17]12[CH2:18][CH:19]3[CH2:20][CH:21]([CH2:22][CH:23]([CH2:24]3)[CH2:25]1)[CH2:26]2	1	[2]
[O:1]([C:2](=[O:3])[CH2:4][N:5]1[CH2:6][CH2:7][N:8]([CH:9]2[CH2:10][CH2:11][N:12]([C:13](=[O:14])[C@@H:15]([CH2:16][c:17]3[cH:18][c:19]([CH3:20])[c:21]([OH:22])[c:23]([CH3:24])[cH:25]3)[O:26][C:27](=[O:28])[N:29]3[CH2:30][CH2:31][CH:32]([n:33]4[n:34][c:35](-[c:36]5[cH:37][cH:38][cH:39][cH:40][cH:41]5)[nH:42][c:43]4=[O:44])[CH2:45][CH2:46]3)[CH2:47][CH2:48]2)[CH2:49][CH2:50]1)[CH2:52][CH3:51]	1	[6]
[CH2:1]([CH2:2][c:3]1[c:4]([N+:5](=[O:6])[O-:7])[cH:8][cH:9][cH:10][cH:11]1)[Br:15]	1	[9]
[CH3:9][O-:10]	1	[1]
[c:1]1([Cl:11])[c:2]([C:3]#[N:4])[cH:5][cH:6][n:7][cH:8]1	1	[1]
[c:1]1([Br:32])[cH:2][cH:3][c:4]2[n:5][cH:6][c:7]3[n:8]([CH3:9])[c:10](=[O:11])[n:12](-[c:13]4[c:14]([CH3:15])[n:16][n:17]([CH3:18])[c:19]4[CH3:20])[c:21]3[c:22]2[cH:23]1	1	[3]
[c:24]1([B:37]2[O:36][C:34]([CH3:33])([CH3:35])[C:39]([CH3:40])([CH3:41])[O:38]2)[cH:25][n:26][c:27]([NH2:28])[c:29]([F:30])[cH:31]1	1	[3]
[NH:1]([c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[NH:9][c:10]2[n:11][cH:12][cH:13][s:14]2)[c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]12)[C:22]([CH3:21])=[O:23]	1	[6]
[C:1]([CH2:2][Br:22])([c:3]1[cH:4][cH:5][n:6][cH:7][c:8]1[Br:9])=[O:21]	1	[4]
[CH3:10][c:11]1[cH:12][cH:13][cH:14][c:15]([NH:16][C:17]([NH2:18])=[S:19])[cH:20]1	1	[4]
[N+:1]([c:2]1[c:3]([Cl:4])[cH:5][c:6]([N:7]2[CH2:8][CH2:9][N:10]([C:11]([C:12]([CH3:13])([CH3:14])[CH3:15])=[O:16])[CH2:17][CH2:18]2)[n:19][cH:20]1)(=[O:21])[O-:22]	1	[7]
[CH2:1]([CH2:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[Br:22]	1	[1]
[CH3:9][O:10][C:11](=[O:12])[c:13]1[cH:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[nH:21]1	1	[1]
[CH3:8][CH:9]([C:10](=[O:11])[O-:12])[c:13]1[cH:14][cH:15][cH:16][c:17]([C:18](=[O:19])[c:20]2[cH:21][c:22]3[cH:23][cH:24][s:25][c:26]3[s:27]2)[cH:28]1	1	[1]
[c:1]1([Cl:45])[c:2]([CH3:3])[c:4]([NH:5][CH2:6][C@H:7]([NH:8][C:9](=[O:10])[O:11][CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[n:26][cH:27][n:28]1	1	[1]
[cH:29]1[cH:30][c:31]2[c:32]([n:33][c:34]1[CH:35]1[CH2:36][CH2:37][NH:38][CH2:39][CH2:40]1)[NH:41][CH2:42][CH2:43][CH2:44]2	1	[1]
[CH3:14][O:15][CH:16]([CH3:17])[CH2:18][CH2:19][OH:20]	1	[2]
[C:1]([c:2]1[c:3]2[n:4][cH:5][n:6][c:7](-[c:8]3[cH:9][c:10]([CH3:11])[c:12]([F:13])[cH:14][c:15]3[O:16][CH2:17][CH:18]3[CH2:19][CH2:20]3)[c:21]2[n:22]([CH2:23][O:24][CH2:25][CH2:26][Si:27]([CH3:28])([CH3:29])[CH3:30])[c:31]1[CH3:32])(=[O:33])[OH:49]	1	[2]
[CH3:34][C:35]([CH3:36])([CH3:37])[O:38][C:39](=[O:40])[N:41]1[CH2:42][CH2:43][C@@H:44]([NH2:45])[C@H:46]([OH:47])[CH2:48]1	1	[2]
[CH3:12][O:13][C:14](=[O:15])[c:16]1[cH:17][cH:18][c:19]([S:20](=[O:21])(=[O:22])[NH:23][CH2:24][c:25]2[cH:26][cH:27][c:28]3[c:29]([cH:30][n:31][n:32]3[CH3:33])[cH:34]2)[cH:35][cH:36]1	1	[1]
[c:1]1([Cl:37])[n:2][cH:3][c:4]([C:5]([F:6])([F:7])[F:8])[cH:9][c:10]1[Cl:11]	1	[1]
[C:14](#[N:15])[Cu:17]	1	[9]
[c:1]1([Br:16])[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[nH:7][c:8]1[cH:9][n:10][cH:11][cH:12][c:13]21	1	[9]
[O:11]=[C:12]([OH:13])[C@@H:14]1[CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]2[NH:22]1	1	[2]
[O:1]([C:2](=[O:3])[CH2:4][CH2:5][c:6]1[cH:7][c:8]([O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[n:17][n:18]1[CH2:19][c:20]1[cH:21][cH:22][c:23]([Cl:24])[cH:25][c:26]1[Cl:27])[CH2:29][CH3:28]	1	[6]
[CH:18]#[C:19][Si:20]([CH3:21])([CH3:22])[CH3:23]	1	[3]
[c:1]1([I:24])[c:2]2[c:3]([OH:4])[n:5][c:6]([NH:7][C:8]([C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[n:14][c:15]2[nH:16][cH:17]1	1	[3]
[CH3:14][c:15]1[cH:16][s:17][c:18]([NH2:19])[n:20]1	1	[1]
